"CEL_ID","CEL_USERCREATION","CEL_DATECREATION","CEL_DESCRIPTIONDU","CEL_DESCRIPTIONFR","CEL_CODEDU","CEL_DATEUPDATE","CEL_DESCRIPTIONEN","CEL_USERUPDATE","CEL_CODEFR","CEL_CODEEN"
59,"PGERARD",28/07/08,"DIRECTIE","DIRECTION","DIRECTIE",,"DIRECTION","","DIRECTION","DIRECTION"
15,"PGERARD",04/05/04,"DIRECTIE EXTERNE BETREKKINGEN","DIRECTION DES RELATIONS EXTERIEURES","EXTERNE BETREKKINGEN",12/11/04,"DIRECTION OF EXTERNAL RELATIONS","PGERARD","RELATIONS EXTÉRIEURES","EXTERNAL RELATION"
16,"PGERARD",04/05/04,"EURES","EURES","EURES",11/05/04,"EURES","PGERARD","EURES","EURES"
31,"PGERARD",25/05/04,"DIRECTIE WATER","DIRECTION DE L'EAU","AUU",27/07/04,"DIRECTION DE L'EAU","GDEROEP","AUU","AUU"
32,"PGERARD",25/05/04,"DIRECTIE BUITENLANDSE HANDEL","DIRECTION DU COMMERCE EXTERIEUR","CEX",26/07/04,"DIRECTIE BUITENLANDSE HANDEL","GDEROEP","CEX","CEX"
36,"GDEROEP",30/06/04,"DIRECTIE WERKGELEGENHEIDSBELEID","DIRECTION DE LA POLITIQUE DE L'EMPLOI","EMP",30/06/04,"DIRECTION OF EMPLOYMENT","PGERARD","EMP","EMP"
49,"GDEROEP",18/11/04,"PUBLIC RELATIONS EN INTERNATIONALE BETREKKINGEN","RELATIONS PUBLIQUES ET INTERNATIONALES","PB -PR",18/11/04,"RELATIONS PUBLIQUES ET INTERNATIONALES","GDEROEP","PB -PR","PB -PR"
34,"PGERARD",03/06/04,"ALGEMENE DIRECTIE","DIRECTION GÉNÉRALE","BPB",27/07/04,"DIRECTION GÉNÉRALE","GDEROEP","APL","APL"
18,"PGERARD",11/05/04,"DIRECTIE STUDIES EN PLANNING","DIRECTION ETUDES ET PLANIFICATION","EOP",31/05/05,"DIRECTION OF STUDIES AND PLANIFICATION","GDEROEP","EOP","EOP"
19,"PGERARD",11/05/04,"DIRECTIE MONUMENTEN EN LANDSCHAPPEN","DIRECTION DES MONUMENTS ET SITES","MNS",11/05/04,"DIRECTION DES MONUMENTS ET SITES","PGERARD","MNS","MNS"
20,"PGERARD",11/05/04,"DIRECTIE ADMINISTRATIEVE EN FINANCIELE ZAKEN","DIRECTION ADMINISTRATIVE ET FINANCIERE","DIRECTIE ADMINISTRATIEVE EN FINANCIELE ZAKEN (DAF)",27/07/09,"DIRECTION ADMINISTRATIVE ET FINANCIERE","PGERARD","DIRECTION ADMINISTRATIVE ET FINANCIERE (DAF)","DIRECTION ADMINISTRATIVE ET FINANCIERE(DAF)"
21,"PGERARD",11/05/04,"DIRECTIE ONDERZOEK EN INNOVATIE","DIRECTION DE RECHERCHE ET DE L' INNOVATION","RIN",27/07/04,"DIRECTION DE RECHERCHE ET DE L' INNOVATION","GDEROEP","RIN","RIN"
22,"PGERARD",11/05/04,"DIVISIE INFORMATIE, VRIJWILLIGE EN NABIJHEIDSACTIES","DIVISION INFORMATION, ACTIONS VOLONTAIRES  ET DE PROXIMITÉ","DIAVP",27/07/04,"","GDEROEP","DIAVP","DIAVP"
23,"PGERARD",11/05/04,"DIVISIE INSPECTIE, PATRIMONIUM EN INTERNATIONALE SAMENWERKING","DIVISION INSPECTORAT, PATRIMOINE ET COOPERATION INTERNATIONALE","DIV. INSPECTIE, PATRIMONIUM EN INTERNALE (DIPCI)",27/07/09,"DIVISION INSPECTORAT, PATRIMOINE ET COOPERATION INTERNATIONALE","PGERARD","DIV. INSPECTORAT, PATRIMOINE ET COOPERATION  DIPCI","DIV. INSPECTORAT, PATRIMOINE ET COOPERATION (DIPCI"
24,"PGERARD",11/05/04,"DIRECTIE ONDERZOEK, HUMAN RESOURCES EN COORDINATIE","DIRECTION RECHERCHE, RESOURCE HUMAINE ET COORDINATION","DRRHC",27/07/04,"DIRECTION RECHERCHE, RESOURCE HUMAINE ET COORDINATION","GDEROEP","DRRHC","DRRHC"
