"CTY_ID","CTY_NAMEEN","CTY_USERUPDATE","CTY_NAMEFR","CTY_DATECREATION","CTY_USERCREATION","CTY_NAMEDU","CTY_DATEUPDATE","CTY_REG_ID","CTY_CTR_ID"
967,"ADELAIDE","GDEROEP","ADELAIDE",14/07/04,"PGERARD","ADELAIDE",20/07/04,690,13
1208,"MESSINA","PGERARD","MESSINE",03/08/04,"PGERARD","MESSINA",03/09/04,324,105
974,"CANBERRA","","CANBERRA",14/07/04,"PGERARD","CANBERRA",,,13
991,"PERTH","GDEROEP","PERTH",14/07/04,"PGERARD","PERTH",20/07/04,691,13
1005,"GRAZ","PGERARD","GRAZ",14/07/04,"PGERARD","GRAZ",03/09/04,23,14
1222,"VADUZ","","VADUZ",03/08/04,"PGERARD","VADUZ",,,122
1013,"BAKU","GDEROEP","BAKU",14/07/04,"PGERARD","BAKOE",18/11/04,,11
1014,"MINSK","","MINSK",14/07/04,"PGERARD","MINSK",,,20
1223,"SKOPJE","","SKOPJE",03/08/04,"PGERARD","SKOPJE",,,126
1224,"KUALA LUMPUR","","KUALA LUMPUR",03/08/04,"PGERARD","KUALA LUMPUR",,,129
1225,"PETALING JAYA","","PETALING JAYA",03/08/04,"PGERARD","PETALING JAYA",,,129
1227,"PORT LOUIS","","PORT LOUIS",03/08/04,"PGERARD","PORT LOUIS",,,135
689,"SAO PAULO","","SAO PAULO",30/06/04,"PGERARD","SAO PAULO",,,30
1201,"PALERMO","","PALERME",22/07/04,"GDEROEP","PALERMO",,324,105
1239,"MUSCAT","","MUSCAT",03/08/04,"PGERARD","MUSCAT",,,161
1028,"VANCOUVER","","VANCOUVER",14/07/04,"PGERARD","VANCOUVER",,,38
1031,"WINNIPEG","","WINNIPEG",14/07/04,"PGERARD","WINNIPEG",,,38
1033,"SHANGHAI","GDEROEP","SHANGHAI",14/07/04,"PGERARD","SJANGHAI",08/12/04,,44
1036,"OSTRAVA","GDEROEP","OSTRAVA",14/07/04,"PGERARD","OSTRAVA",20/07/04,436,56
1234,"MAASTRICHT","PGERARD","MAASTRICHT",03/08/04,"PGERARD","MAASTRICHT",03/09/04,262,150
