"CTY_ID","CTY_NAMEEN","CTY_USERUPDATE","CTY_NAMEFR","CTY_DATECREATION","CTY_USERCREATION","CTY_NAMEDU","CTY_DATEUPDATE","CTY_REG_ID","CTY_CTR_ID"
134,"SANTANDER","GDEROEP","SANTANDER",20/04/04,"KATRINA","SANTANDER",20/07/04,391,195
100,"ZARAGOZA","GDEROEP","ZARAGOSSE",20/04/04,"KATRINA","SARAGOSSA",06/07/04,389,195
773,"IPARIA","","IPARIA",01/07/04,"PGERARD","IPARIA",,,167
681,"IRUN","","IRUN",30/06/04,"PGERARD","IRUN",,397,195
804,"ISSY LES MOULINEAUX","","ISSY LES MOULINEAUX",02/07/04,"PGERARD","ISSY LES MOULINEAUX",,373,73
747,"AGUILARES","","AGUILARES",01/07/04,"PGERARD","AGUILARES",,,64
720,"ALAGOINHAS","","ALAGOINHAS",01/07/04,"PGERARD","ALAGOINHAS",,,30
388,"ALESSANDRIA","PGERARD","ALESSANDRIA",08/06/04,"PGERARD","ALESSANDRIA",03/09/04,321,105
688,"ALT EMPORDA","","ALT EMPORDA",30/06/04,"PGERARD","ALT EMPORDA",,4,195
588,"ALVORADA","","ALVORADA",30/06/04,"PGERARD","ALVORADA",,,30
393,"ANCONA","","ANCONE",08/06/04,"PGERARD","ANCONA",,319,105
781,"ANDAJES","PGERARD","ANDAJES",01/07/04,"PGERARD","ANDAJES",01/07/04,,167
744,"APOPA","GDEROEP","APOPA",01/07/04,"PGERARD","APOPA",12/08/04,,64
691,"ARICCIA","","ARICCIA",01/07/04,"PGERARD","ARICCIA",,316,105
635,"ASSERI","","ASSERI",30/06/04,"PGERARD","ASSERI",,,51
813,"ZZZ1","GDEROEP","ZZZ1",02/07/04,"PGERARD","ZZZ1",04/08/04,,21
797,"ASTORGA","","ASTORGA",02/07/04,"PGERARD","ASTORGA",,393,195
653,"ATE","","ATE",30/06/04,"PGERARD","ATE",,,167
557,"BADAJOZ","PGERARD","BADAJOZ",30/06/04,"PGERARD","BADAJOZ",05/08/04,398,195
704,"BADALONA","","BADALONA",01/07/04,"PGERARD","BADALONA",,4,195
655,"BARRANCO","","BARRANCO",30/06/04,"PGERARD","BARRANCO",,,167
732,"BARVA","","BARVA",01/07/04,"PGERARD","BARVA",,,51
731,"BELEN","","BELEN",01/07/04,"PGERARD","BELEN",,,51
768,"BLUEFIELDS","","BLUEFIELDS",01/07/04,"PGERARD","BLUEFIELDS",,,154
558,"CADIX","","CADIX",30/06/04,"PGERARD","CADIX",,2,195
724,"CALDAS","","CALDAS",01/07/04,"PGERARD","CALDAS",,,47
795,"CALDES DE MONTBUI","","CALDES DE MONTBUI",02/07/04,"PGERARD","CALDES DE MONTBUI",,4,195
674,"CANCHAQUE","","CANCHAQUE",30/06/04,"PGERARD","CANCHAQUE",,,167
559,"CASTELLON","","CASTELLON",30/06/04,"PGERARD","CASTELLON",,395,195
783,"CHANCHAMAYO","PGERARD","CHANCHAMAYO",01/07/04,"PGERARD","CHANCHAMAYO",01/07/04,,167
759,"CHOLOMA","","CHOLOMA",01/07/04,"PGERARD","CHOLOMA",,,95
656,"CHORRILLOS","","CHORRILLOS",30/06/04,"PGERARD","CHORRILLOS",,,167
