"KW_ID","KW_USERUPDATE","KW_NAMEFR","KW_NAMEDU","KW_DATEUPDATE","KW_USERCREATION","KW_NAMEEN","KW_DATECREATION"
160,"GDEROEP","POLITIQUE SOCIALE (DIVERS)","SOCIAAL BELEID (ALLERLEI)",26/05/04,"PGERARD","SOCIAL POLICY (MISC.)",13/05/04
161,"GDEROEP","ADMINISTRATION (DIVERS)","ADMINISTRATIE (ALLERLEI)",26/05/04,"PGERARD","ADMINISTRATION (MISC.)",13/05/04
162,"GDEROEP","AUTORITES (DIVERS)","OVERHEDEN (ALLERLEI)",27/05/05,"PGERARD","AUTHORITIES (MISC.)",13/05/04
163,"GDEROEP","ECONOMIE (DIVERS)","ECONOMIE (ALLERLEI)",02/07/04,"PGERARD","ECONOMY (MISC.)",13/05/04
164,"GDEROEP","EMPLOI (DIVERS)","WERKGELEGENHEID (ALLERLEI)",27/05/04,"PGERARD","EMPLOYMENT (MISC.)",13/05/04
165,"GDEROEP","ENERGIE (DIVERS)","ENERGIE (ALLERLEI)",01/07/04,"PGERARD","ENERGY (MISC.)",13/05/04
166,"GDEROEP","ENVIRONNEMENT (DIVERS)","LEEFMILIEU (ALLERLEI)",26/05/04,"PGERARD","ENVIRONMENT (MISC.)",13/05/04
167,"GDEROEP","FINANCES ET BUDGET (DIVERS)","FINANCIEN EN BEGROTING (ALLERLEI)",01/07/04,"PGERARD","FINANCE AND BUDGET (MISC.)",13/05/04
168,"GDEROEP","LOGEMENT (DIVERS)","HUISVESTING (ALLERLEI)",26/05/04,"PGERARD","HOUSING (MISC.)",13/05/04
169,"GDEROEP","PATRIMOINE (DIVERS)","PATRIMONIUM (ALLERLEI)",26/05/04,"PGERARD","HERITAGE (MISC.)",13/05/04
170,"GDEROEP","RELATIONS EXTERIEURES (DIVERS)","EXTERNE BETREKKINGEN (ALLERLEI)",26/05/04,"PGERARD","EXTERNAL RELATIONS (MISC.)",13/05/04
171,"GDEROEP","RECHERCHE ET DEVELOPPEMENT (DIVERS)","ONDERZOEK EN ONTWIKKELING (ALLERLEI)",26/05/04,"PGERARD","RESEARCH AND DEVELOPMENT (MISC.)",13/05/04
172,"","SECURITE (DIVERS)","VEILIGHEID (ALLERLEI)",,"PGERARD","SECURITY (DIVERS)",13/05/04
173,"GDEROEP","TOURISME (DIVERS)","TOERISME (ALLERLEI)",26/05/04,"PGERARD","TOURISM (MISC.)",13/05/04
174,"GDEROEP","TRANSPORTS (DIVERS)","VERVOER (ALLERLEI)",05/11/04,"PGERARD","TRANSPORT (MISC.)",13/05/04
175,"GDEROEP","URBANISME ET RENOVATION (DIVERS)","STEDENBOUW EN RENOVATIE (ALLERLEI)",17/06/05,"PGERARD","TOWN PLANNING  AND RENOVATION (MISC.)",13/05/04
176,"GDEROEP","GESTION DU TRAFIC","VERVOERBEHEER",30/11/04,"PGERARD","TRAFIC MANAGMENT",13/05/04
