"PRJ_ID","PRJ_CTC_USERUPDATE","PRJ_CTC_DATECREATION","PRJ_CTC_DATEUPDATE","PRJ_CTC_USERCREATION","CTC_ID","PRJ_CTC_CEL_ID","PRJ_CTC_ORG_ID","PRJ_CTC_FCT_ID"
183,"",23/05/06,,"GDEROEP",102,,30,14
158,"",13/01/09,,"PGERARD",106,15,30,15
161,"",08/10/07,,"PGERARD",101,15,30,14
123,"",26/06/12,,"GDEROEP",102,15,30,14
222,"",20/02/06,,"GDEROEP",165,,39,
415,"",24/07/08,,"PGERARD",233,,43,15
275,"",28/07/09,,"PGERARD",177,19,32,14
191,"",25/07/08,,"PGERARD",155,,31,14
190,"",23/05/06,,"GDEROEP",155,,31,14
145,"",13/01/09,,"PGERARD",149,,36,
145,"",13/01/09,,"PGERARD",107,15,30,14
183,"",23/05/06,,"GDEROEP",154,,34,
379,"",07/05/07,,"GDEROEP",219,,51,40
223,"",13/08/09,,"GDEROEP",238,,39,42
425,"",29/07/08,,"GDEROEP",234,59,64,
182,"",23/05/06,,"GDEROEP",200,,32,
182,"",23/05/06,,"GDEROEP",102,,30,14
225,"",12/04/06,,"GDEROEP",167,28,38,25
390,"",27/04/07,,"GDEROEP",223,,55,40
392,"",27/04/07,,"GDEROEP",221,,53,40
423,"",31/07/08,,"GDEROEP",155,,31,14
425,"",29/07/08,,"GDEROEP",155,,31,14
377,"",19/04/07,,"GDEROEP",213,,46,40
430,"",13/08/09,,"GDEROEP",241,15,30,
188,"",23/05/06,,"GDEROEP",155,,31,14
187,"",23/05/06,,"GDEROEP",155,,31,14
198,"",20/02/06,,"GDEROEP",124,18,32,14
419,"",31/07/08,,"GDEROEP",155,,31,14
228,"",20/02/06,,"GDEROEP",141,,28,14
150,"",13/01/09,,"PGERARD",108,15,30,14
197,"",20/02/06,,"GDEROEP",125,19,32,14
378,"",19/04/07,,"GDEROEP",217,,49,40
395,"",07/05/07,,"GDEROEP",231,,58,40
396,"",07/05/07,,"GDEROEP",218,,50,40
400,"",07/05/07,,"GDEROEP",231,,58,40
216,"",20/02/06,,"GDEROEP",135,26,36,
397,"",07/05/07,,"GDEROEP",219,,51,40
401,"",07/05/07,,"GDEROEP",214,,47,41
227,"",13/08/09,,"GDEROEP",168,,28,14
295,"",20/02/06,,"GDEROEP",176,49,42,34
219,"",12/04/06,,"GDEROEP",163,,29,19
270,"",24/04/06,,"GDEROEP",174,,41,
111,"",03/06/08,,"PGERARD",103,16,29,
199,"",20/02/06,,"GDEROEP",126,18,32,14
200,"",20/02/06,,"GDEROEP",183,19,32,14
384,"",13/08/09,,"GDEROEP",229,,45,40
417,"",24/07/08,,"PGERARD",233,,43,15
472,"",17/01/12,,"PGERARD",106,15,30,15
240,"",12/04/06,,"GDEROEP",115,37,37,19
276,"",12/04/06,,"GDEROEP",123,18,32,18
211,"",20/02/06,,"GDEROEP",132,,36,
276,"",12/04/06,,"GDEROEP",124,18,32,14
263,"",12/04/06,,"GDEROEP",172,,35,
185,"",23/05/06,,"GDEROEP",149,,36,
185,"",23/05/06,,"GDEROEP",107,15,30,14
209,"",15/02/06,,"GDEROEP",179,48,32,
209,"",15/02/06,,"GDEROEP",178,47,30,14
393,"",13/08/09,,"GDEROEP",230,,45,40
430,"",13/08/09,,"GDEROEP",136,24,36,
189,"",23/05/06,,"GDEROEP",157,33,31,19
208,"",22/02/06,,"GDEROEP",159,19,32,23
202,"",22/02/06,,"GDEROEP",159,19,32,23
181,"",13/01/09,,"PGERARD",151,15,30,
181,"",13/01/09,,"PGERARD",102,,30,14
201,"",22/02/06,,"GDEROEP",201,19,32,14
111,"",03/06/08,,"PGERARD",101,15,30,14
410,"",24/07/08,,"PGERARD",212,58,40,39
398,"",07/05/07,,"GDEROEP",228,,61,41
399,"",07/05/07,,"GDEROEP",226,,63,40
429,"",28/07/09,,"PGERARD",137,61,36,
298,"",24/07/08,,"PGERARD",123,18,32,18
304,"",23/05/06,,"GDEROEP",203,54,38,20
309,"",23/05/06,,"GDEROEP",191,53,38,36
297,"",01/08/05,,"GDEROEP",198,,43,37
302,"",23/05/06,,"GDEROEP",202,53,38,20
298,"",24/07/08,,"PGERARD",124,18,32,14
221,"",23/02/06,,"GDEROEP",165,,39,
236,"",23/08/06,,"GDEROEP",141,,28,14
308,"",23/05/06,,"GDEROEP",206,55,38,38
307,"",23/05/06,,"GDEROEP",205,54,38,20
151,"",10/04/06,,"PGERARD",210,15,30,14
305,"",23/05/06,,"GDEROEP",204,54,38,36
303,"",23/05/06,,"GDEROEP",192,,38,18
306,"",23/05/06,,"GDEROEP",186,31,38,22
282,"",23/05/06,,"GDEROEP",137,,36,
255,"",23/08/06,,"GDEROEP",158,34,31,14
138,"",23/05/06,,"GDEROEP",105,15,30,14
156,"",10/04/06,,"PGERARD",200,,32,
156,"",10/04/06,,"PGERARD",102,15,30,14
257,"",23/08/06,,"GDEROEP",141,,28,14
274,"",23/08/06,,"GDEROEP",176,49,42,34
136,"",23/05/06,,"GDEROEP",105,15,30,14
137,"",23/05/06,,"GDEROEP",105,15,30,14
426,"",01/08/08,,"GDEROEP",233,,43,15
416,"",01/08/08,,"GDEROEP",233,,43,15
314,"",12/04/07,,"GDEROEP",213,,46,40
332,"",12/04/07,,"GDEROEP",222,,54,40
334,"",12/04/07,,"GDEROEP",224,,,40
330,"",12/04/07,,"GDEROEP",220,,52,40
317,"",12/04/07,,"GDEROEP",216,,48,40
329,"",12/04/07,,"GDEROEP",219,,51,40
335,"",12/04/07,,"GDEROEP",224,,,40
411,"",12/08/08,,"GDEROEP",240,,66,43
318,"",12/04/07,,"GDEROEP",217,,49,40
319,"",12/04/07,,"GDEROEP",217,,49,40
440,"",17/01/12,,"GDEROEP",149,23,36,
203,"",06/04/06,,"GDEROEP",124,18,32,14
203,"",06/04/06,,"GDEROEP",128,20,32,19
164,"",25/05/04,,"PGERARD",101,15,30,14
440,"",17/01/12,,"GDEROEP",106,15,30,15
113,"",02/03/06,,"GDEROEP",102,15,28,14
127,"",24/07/06,,"GDEROEP",145,30,30,
467,"",17/01/12,,"GDEROEP",108,15,30,14
127,"",24/07/06,,"GDEROEP",105,15,30,14
196,"",06/04/06,,"GDEROEP",123,18,32,18
155,"",12/04/06,,"GDEROEP",210,15,30,14
261,"",17/01/12,,"GDEROEP",171,,,
261,"",17/01/12,,"GDEROEP",169,15,30,21
450,"",17/01/12,,"GDEROEP",249,47,30,47
206,"",13/02/12,,"PGERARD",252,15,30,14
116,"",12/05/04,,"PGERARD",108,15,30,14
177,"",02/05/06,,"GDEROEP",149,,36,
281,"",24/07/06,,"GDEROEP",123,18,32,18
177,"",02/05/06,,"GDEROEP",107,15,30,14
280,"",24/07/06,,"GDEROEP",180,20,32,14
