"REG_ID","REG_DATECREATION","REG_USERCREATION","REG_USERUPDATE","REG_NAMEFR","REG_NAMEDU","REG_NAMEEN","REG_DATEUPDATE","REG_CTR_ID"
59,20/04/04,"KATRINA","","HUNEDOARA","HUNEDOARA","HUNEDOARA",,175
60,20/04/04,"KATRINA","","IALOMITA","IALOMITA","IALOMITA",,175
61,20/04/04,"KATRINA","","IASI","IASI","IASI",,175
62,20/04/04,"KATRINA","","MARAMURES","MARAMURES","MARAMURES",,175
63,20/04/04,"KATRINA","","MEHEDINTI","MEHEDINTI","MEHEDINTI",,175
64,20/04/04,"KATRINA","","MURES","MURES","MURES",,175
65,20/04/04,"KATRINA","","OLT","OLT","OLT",,175
66,20/04/04,"KATRINA","","PRAHOVA ","PRAHOVA ","PRAHOVA ",,175
74,20/04/04,"KATRINA","","SALAJ","SALAJ","SALAJ",,175
75,20/04/04,"KATRINA","","SATU MARE","SATU MARE","SATU MARE",,175
76,20/04/04,"KATRINA","","SIBIU","SIBIU","SIBIU",,175
77,20/04/04,"KATRINA","","TELEORMAN","TELEORMAN","TELEORMAN",,175
78,20/04/04,"KATRINA","","TIMIS","TIMIS","TIMIS",,175
79,20/04/04,"KATRINA","","TULCEA","TULCEA","TULCEA",,175
80,20/04/04,"KATRINA","","VALCEA","VALCEA","VALCEA",,175
81,20/04/04,"KATRINA","","VASLUI ","VASLUI ","VASLUI ",,175
82,20/04/04,"KATRINA","PGERARD","KARELIE","KARELIA","KARELIA",10/05/04,176
83,20/04/04,"KATRINA","","TATARSTAN","TATARSTAN","TATARSTAN",,176
85,20/04/04,"KATRINA","GDEROEP","BALES-CAMPAGNE","BASEL-LANDSCHAFT","BASLE-COUNTRY",16/07/04,204
86,20/04/04,"KATRINA","GDEROEP","BALE-VILLE","BASEL-STAD","BASLE-CITY",16/07/04,204
87,20/04/04,"KATRINA","GDEROEP","BERN","BERN","BERNE",16/07/04,204
88,20/04/04,"KATRINA","GDEROEP","FRIBOURG","FREIBURG","FRIBOURG",16/07/04,204
89,20/04/04,"KATRINA","GDEROEP","GENEVE","GENEVE","GENEVA",16/07/04,204
90,20/04/04,"KATRINA","GDEROEP","GRISONS (GRAUBUNDEN)","GRAUBUNDEN","GRISONS (GRAUBUNDEN)",16/07/04,204
91,20/04/04,"KATRINA","","JURA","JURA","JURA",,204
92,20/04/04,"KATRINA","GDEROEP","LUCERNE","LUZERN","LUCERNE",16/07/04,204
93,20/04/04,"KATRINA","PGERARD","NEUCHATEL","NEUCHATEL","NEUCHATEL",10/05/04,204
94,20/04/04,"KATRINA","GDEROEP","NIDWALD","NIDWALDEN","NIDWALD",16/07/04,204
95,20/04/04,"KATRINA","GDEROEP","OBWALD","OBWALDEN","OBWALD",16/07/04,204
96,20/04/04,"KATRINA","GDEROEP","SCHWY(T)Z","SCHWYZ","SCHWYZ",16/07/04,204
97,20/04/04,"KATRINA","GDEROEP","SOLEURE","SOLOTHURN","SOLOTHURN",16/07/04,204
98,20/04/04,"KATRINA","GDEROEP","SAINT- GALL","ST. GALLEN","ST. GALL",16/07/04,204
99,20/04/04,"KATRINA","GDEROEP","THURGOVIE","THURGAU","THURGOVIA",16/07/04,204
100,20/04/04,"KATRINA","GDEROEP","TESSIN (TICINO)","TESSIN (TICINO)","TICINO",16/07/04,204
101,20/04/04,"KATRINA","","URI","URI","URI",,204
102,20/04/04,"KATRINA","GDEROEP","VALAIS","WALLIS","VALAIS",06/07/04,204
103,20/04/04,"KATRINA","GDEROEP","VAUD","VAUD","VAUD",16/07/04,204
104,20/04/04,"KATRINA","PGERARD","ZURICH","ZURICH","ZURICH",10/05/04,204
105,20/04/04,"KATRINA","GDEROEP","ZOUG","ZUG","ZUG",16/07/04,204
106,20/04/04,"KATRINA","","VOJVODINA ","VOJVODINA ","VOJVODINA ",,236
110,20/04/04,"KATRINA","GDEROEP","CARELIE DU SUD (ETELA-KARJALA)","ZUID-KARELIE (ETELA-KARJALA)","SOUTH CARELIA (ETELA-KARJALA)",19/07/04,72
111,20/04/04,"KATRINA","GDEROEP","OSTROBOTNIE DU SUD (ETELA-POHJANMAA)","ETELA-POHJANMAA","SOUTH OSTROBOTHNIA (ETELA-POHJANMAA)",19/07/04,72
112,20/04/04,"KATRINA","PGERARD","HAME","HAME","HAME",10/05/04,72
113,20/04/04,"KATRINA","GDEROEP","FINLANDE CENTRALE (KESKI-SUOMI)","CENTRAAL FINLAND (KESKI-SUOMI)","CENTRAL FINLAND (KESKI-SUOMI)",19/07/04,72
114,20/04/04,"KATRINA","GDEROEP","LAPONIE (LAPPI)","LAPLAND (LAPPI)","LAPLAND (LAPPI)",19/07/04,72
115,20/04/04,"KATRINA","GDEROEP","PIRKANMAA (REGION DE TAMPERE)","PIRKANMAA (TAMPERE REGIO)","PIRKANMAA (TAMPERE REGION)",19/07/04,72
116,20/04/04,"KATRINA","GDEROEP","OSTROBOTNIE (POHJANMAA)","POHJANMAA","OSTROBOTHNIA (POHJANMAA)",19/07/04,72
117,20/04/04,"KATRINA","GDEROEP","CARELIE DU NORD (POHJOIS-KARJALA)","NOORD-KARELIÊ (POHJOIS-KARJALA)","NORTH CARELIA (POHJOIS-KARJALA)",19/07/04,72
118,20/04/04,"KATRINA","GDEROEP","OSTROBOTNIE DU NORD (POHJOIS-POHJANMAA)","POHJOIS-POHJANMAA","NORTHERN OSTROBOTHNIA (POHJOIS-POHJANMAA)",19/07/04,72
458,20/04/04,"KATRINA","GDEROEP","BUDAPEST (DISTRICT)","BOEDAPEST (DISTRICT)","BUDAPEST (DISTRICT)",08/03/05,97
459,20/04/04,"KATRINA","GDEROEP","BERLIN","BERLIJN","BERLIN",06/05/04,81
460,20/04/04,"KATRINA","GDEROEP","ATTIKI","ATTIKA","ATTICA",16/07/04,84
462,20/04/04,"KATRINA","","REYKJAVIK","REYKJAVIK","REYKJAVIK",,98
465,20/04/04,"KATRINA","GDEROEP","LISBOA E VALE DO TEJO","LISBOA E VALE DO TEJO (LISSABON EN TAAG VALLEI)","LISBOA E VALE DO TEJO (LISBON AND TAGUS VALLEY)",07/07/04,171
466,20/04/04,"KATRINA","GDEROEP","BUCHAREST","BOEKAREST","BUCHAREST",30/06/04,175
467,20/04/04,"KATRINA","GDEROEP","LENINGRAD (PROVINCE)","LENINGRAD (PROVINCIE)","LENINGRAD (PROVINCE)",25/06/12,176
468,20/04/04,"KATRINA","","BRATISLAVA","BRATISLAVA","BRATISLAVA",,189
472,20/04/04,"KATRINA","","STOCKHOLM","STOCKHOLM","STOCKHOLM",,203
473,20/04/04,"KATRINA","","KYJIVSKA","KYJIVSKA","KYJIVSKA",,220
474,20/04/04,"KATRINA","GDEROEP","IRLANDE DU NORD","NOORD-IERLAND","NORTHERN IRELAND",09/07/04,222
476,20/04/04,"KATRINA","GDEROEP","PAYS DE GALLES","WALES","WALES",06/05/04,222
477,20/04/04,"KATRINA","GDEROEP","ECOSSE","SCHOTLAND","SCOTLAND",07/05/04,222
485,20/04/04,"KATRINA","GDEROEP","MACEDOINE CENTRALE (KENTIKI MAKEDONIA)","CENTRAAL MACEDONIE (KENTIKI MAKEDONIA)","CENTRAL MACEDONIA (KENTIKI MAKEDONIA)",16/07/04,84
521,20/04/04,"KATRINA","GDEROEP","BEKES (DISTRICT)","BEKES (DISTRICT)","BEKES (DISTRICT)",08/03/05,97
487,20/04/04,"KATRINA","","BRABANT","BRABANT","BRABANT",,150
491,20/04/04,"KATRINA","GDEROEP","SILESIE","SILEZIE (SLASKIE)","SILESIA",08/03/05,170
493,20/04/04,"KATRINA","GDEROEP","LODZKIE","LODZKIE","LODZKIE",07/05/04,170
494,20/04/04,"KATRINA","GDEROEP","ZACHORDNIOPOMORSKIE","WESTPOMMEREN (ZACHORDNIOPOMORSKIE)","ZACHORDNIOPOMORSKIE",08/03/05,170
495,20/04/04,"KATRINA","GDEROEP","ASTURIES","ASTURIE","ASTURIAS",06/07/04,195
496,20/04/04,"KATRINA","GDEROEP","VASTRA GOTALAND (REGION)","VASTRA GOTALAND (REGION)","VASTRA GOTALAND (REGION)",16/07/04,203
497,20/04/04,"KATRINA","","NIZEGORODSKAJA","NIZEGORODSKAJA","NIZEGORODSKAJA",,176
498,20/04/04,"KATRINA","","HESSEN","HESSEN","HESSEN",,81
499,20/04/04,"KATRINA","GDEROEP","RHENANIE-PALATINAT","RIJNLAND-PALTS","RHINELAND-PALATINATE",25/06/12,81
500,20/04/04,"KATRINA","GDEROEP","RHENANIE-DU-NORD-WESTPHALIE","NOORDRIJN-WESTFALEN","NORDRHEIN-WESTFALEN",25/06/12,81
501,20/04/04,"KATRINA","","THURINGEN","THURINGEN","THURINGEN",,81
502,20/04/04,"KATRINA","","RABAT-SALE-ZEMMOUR-ZAER","RABAT-SALE-ZEMMOUR-ZAER","RABAT-SALE-ZEMMOUR-ZAER",,144
508,20/04/04,"KATRINA","PGERARD","BASSE-SAXE","NEDERSAKSEN","NIEDERSACHSEN",18/06/04,81
