"ORG_ID","ORG_URL","ORG_DESCRIPTIONDU","ORG_DATECREATION","ORG_CODEDU","ORG_CODEFR","ORG_DATEUPDATE","ORG_USERCREATION","ORG_DESCRIPTIONEN","ORG_CODEEN","ORG_USERUPDATE","ORG_DESCRIPTIONFR","ORG_ORGT_ID"
51,"www.woluwe1150.be","GEMEENTE WOLUWE-SAINT-PIERRE",13/02/07,"GEMEENTE SINT-PIETERS-WOLUWE","COMMUNE DE WOLUWE-SAINT-PIERRE",25/04/07,"PGERARD","MUNICIPALITY OF WOLUWE-SAINT-PIERRE","MUNICIPALITY OF WOLUWE-SAINT-PIERRE","GDEROEP","COMMUNE DE WOLUWE-SAINT-PIERRE",
64,"http://www.avcb-vsgb.be","VERENIGING VAN DE STAD EN DE GEMMEENTE VAN HET BRUSSELS HOOFDSTEDELIJK GEWEST",28/07/08,"VSGB","AVCB",,"PGERARD","ASSOCIATION DES VILLES ET DES COMMUNES DE LA RÉGION DE BRUXELLES-CAPITALE","AVCB","","ASSOCIATION DES VILLES ET DES COMMUNES DE LA RÉGION DE BRUXELLES-CAPITALE",
67,"http://www.acrplus.org/","ASSOCIATION OF CITIES AND REGIONS FOR RECYCLING AND SUSTAINABLE RESOURCE MANAGEMENT",19/08/08,"ACR+","ACR+",,"PGERARD","ASSOCIATION OF CITIES AND REGIONS FOR RECYCLING AND SUSTAINABLE RESOURCE MANAGEMENT","ACR+","","ASSOCIATION DES CITÉS ET RÉGIONS POUR LE RECYCLAGE ET L A GESTION DURABLE DES RESSOURCES",
28,"www.bruxelles.irisnet.be","BESTUUR ECONOMIE EN WERKGELEGENHEID (MINISTERIE VAN HET BRUSSELS HOOFDSTEDELIJK GEWEST)",04/05/04,"BEW","AEE",30/06/04,"PGERARD","THE ECONOMY AND EMPLOYMENT ADMINISTRATION (THE MINISTRY OF BRUSSELS CAPITAL REGION)","AEE","PGERARD","ADMINISTRATION DE L'ECONOMIE ET DE L'EMPLOI (MINISTERE DE LA REGION DE BRUXELLES-CAPITALE)",
29,"www.orbem.be","BRUSSELSE GEWESTELIJKE DIENST VOOR ARBEIDSBEMIDDELING",04/05/04,"BGDA","ORBEM",11/06/04,"PGERARD","BRUSSELS REGIONAL EMPLOYMENT OFFICE","ORBEM","GDEROEP","OFFICE REGIONAL BRUXELLOIS DE L'EMPLOI",
38,"www.bruxelles.irisnet.be","MOBIEL BRUSSEL (MINISTERIE VAN HET BRUSSELS HOOFDSTEDELIJK GEWEST)",25/05/04,"MOBIEL BRUSSEL- AED","BRUXELLES MOBILITÉ- AED",28/07/08,"PGERARD","MOBILITY BRUSSELS (MINISTRY OF BRUSSELS-CAPITAL REGION)","MOBILITY BRUSSELS - BUV","PGERARD","BRUXELLES MOBILITÉ  (MINISTERE DE LA REGION BRUXELLES-CAPITALE)",
37,"www.stib.irisnet.be","MAATSCHAPPIJ VOOR INTERCOMMUNAAL VERVOER VAN BRUSSEL",11/05/04,"MIVB","STIB",09/07/04,"PGERARD","BRUSSELS PUBLIC TRANSPORT COMPANY","STIB","PGERARD","SOCIÉTÉ DES TRANSPORTS INTERCOMMUNAUX DE BRUXELLES",
39,"www.portdebruxelles.irisnet.be","GEWESTELIJKE VENNOOTSCHAP VAN DE HAVEN VAN BRUSSEL",21/06/04,"HAVEN VAN BRUSSEL","PORT DE BRUXELLES",01/12/04,"PGERARD","PORT OF BRUSSELS","PORT OF BRUSSELS","GDEROEP","SOCIETE REGIONALE DU PORT DE BRUXELLES",
41,"www.srib.be","GEWESTELIJKE INVESTERINGSMAATSCHAPPIJ VOOR BRUSSEL",30/08/04,"GIMB","SRIB",08/03/05,"PGERARD","SOCIETE REGIONALE D'INVESTISSEMENT DE BRUXELLES","SRIB","GDEROEP","SOCIETE REGIONALE D'INVESTISSEMENT DE BRUXELLES",
42,"www.bruparl.irisnet.be","BRUSSELS HOOFDSTEDELIJK PARLEMENT",03/11/04,"BRUSSELS HOOFDSTEDELIJK PARLEMENT","PARLEMENT DE LA REGION DE BRUXELLES-CAPITALE",03/05/05,"GDEROEP","PARLEMENT BRUXELLOIS","BRUSSELS REGIONAL PARLIAMENT","GDEROEP","PARLEMENT DE LA REGION DE BRUXELLES-CAPITALE",
44,"","KONINKLIJKE COMMISSIE VOOR MONUMENTEN EN LANDSCHAPPEN",25/01/05,"KCML","CRMS",,"GDEROEP","COMMISSION ROYALE DES MONUMENTS ET DES SITES","CRMS","","COMMISSION ROYALE DES MONUMENTS ET DES SITES",
43,"","INSTITUUT TER BEVORDERING VAN HET WETENSCHAPPELIJK ONDERZOEK EN DE INOVATIE VAN BRUSSEL",01/12/04,"IWOIB","IRSIB",22/04/08,"GDEROEP","INSTITUTE FOR THE ENCOURAGEMENT OF SCIENTIFIC RESEARCH AND INNOVATION OF BRUSSELS","IRSIB","GDEROEP","INSTITUT POUR LA RECHERCHE SCIENTIFIQUE ET L'INNOVATION TECHNOLOGIQUE",
30,"www.bruxelles.irisnet.be","DIENSTEN VAN DE SECRETARIS GENERAAL (MINISTERIE VAN HET BRUSSELS HOOFDSTEDELIJK GEWEST)",10/05/04,"DSG","SSG",28/07/09,"PGERARD","SERVICES OF THE SECRETARY GENERAL  (MINISTRY OF BRUSSELS-CAPITAL REGION)","SSG","PGERARD","SERVICE DU SECRETAIRE GENERAL (MINISTÈRE DE LA REGION DE BRUXELLES-CAPITALE)",
31,"www.bruxelles.irisnet.be","BESTUUR PLAATSELIJKE BESTUREN (MINISTERIE VAN HET BRUSSELS HOOFDSTEDELIJK GEWEST)",10/05/04,"BPB","APL",11/06/04,"PGERARD","THE LOCAL AUTHORITIES ADMINISTRATION (MINISTRY OF THE BRUSSELS-CAPITAL REGION)","ALA","GDEROEP","ADMINISTRATION DES POUVOIRS LOCAUX (MINISTERE DE LA REGION DE BRUXELLES-CAPITALE)",
32,"www.brussels.irisnet.be","BESTUUR RUIMTELIJKE ORDENING EN HUISVESTING (MINISTERIE VAN HET BRUSSELS HOOFDSTEDELIJK GEWEST)",10/05/04,"BROH","AATL",11/05/05,"PGERARD","THE HOUSING AND SPATIAL DEVELOPMENT ADMINISTRATION","BROH","PGERARD","ADMINISTRATION DE L'AMENAGEMENT DU TERRITOIRE ET DU LOGEMENT (MINISTERE DE LA REGION DE BRUXELLES-CAPITALE)",
33,"www.bruxelles.irisnet.be","BESTUUR FINANCIEN EN BEGROTING (MINISTERIE VAN HET BRUSSELS HOOFDSTEDELIJK GEWEST)",10/05/04,"BFB","AFB",11/06/04,"PGERARD","THE FINANCES AND BUDGET ADMINISTRATION (MINISTRY OF THE BRUSSELS-CAPITAL REGION)","ABF","GDEROEP","ADMINISTRATION DES FINANCES ET DU BUDGET (MINISTERE DE LA REGION DE BRUXELLES-CAPITALE)",
34,"www.sdrb.irisnet.be","GEWESTELIJKE ONTWIKKELINGSMAATSCHAPPIJ VOOR HET BRUSSELS HOOFDSTEDELIJK GEWEST",10/05/04,"GOMB","SDRB",11/06/04,"PGERARD","BRUSSELS REGIONAL DEVELOPMENT AGENCY","BRDA","GDEROEP","SOCIETE DE DEVELOPPEMENT REGIONAL DE  BRUXELLES",
