"PRJ_ID","PRJ_IDPARENT","PRJ_CODE","PRJ_DESCRIPTIONDU","PRJ_DESCRIPTIONEN","PRJ_INTERNETWORK","PRJ_URL","PRJ_CONTENTDU","PRJ_USERUPDATE","PRJ_DATEUPDATE","PRJ_STARTDATE","PRJ_COMMENTS","PRJ_USERCREATION","PRJ_CONTENTFR","PRJ_DATECREATION","PRJ_ENDDATE","PRJ_DESCRIPTIONFR","PRJ_DELETE","PRJ_PRJS_ID","PRJ_RELT_ID","PRJ_CONTENTEN"
144,,"ISRAEL","SAMENWERKINGSOVEREENKOMST INZAKE INDUSTRIEEL ONDERZOEK EN ONTWIKKELING TUSSEN DE REGERING VAN DE STAAT ISRAËL EN DE REGERING VAN HET BRUSSELS HOOFDSTEDELIJK GEWEST","AGREEMENT ON COOPERATION IN THE FIELD OF INDUSTRIAL RESEARCH AND DEVELOPMENT BETWEEN THE GOVERNMENT OF THE STATE OF ISRAEL AND THE GOVERNMENT OF THE BRUSSELS CAPITAL REGION","24","","ECONOMIE & HANDEL - ECONOMISCHE ONTWIKKELING - ONDERNEMING - INDUSTRIE","GDEROEP",06/04/06,08/09/98,"","PGERARD","ECONOMIE & COMMERCE - DEVELOPPEMENT ECONOMIQUE - ENTREPRISE- INDUSTRIE",14/05/04,,"ACCORD DE COOPERATION DANS LE DOMAINE DE RECHERCHE ET DEVELOPPEMENT INDUSTRIELS ENTRE LE GOUVERNEMENT DE L'ETAT D' ISRAEL ET LE GOUVERNEMENT DE LA REGION DE BRUXELLES-CAPITALE","N",18,17,"ECONOMY & TRADE - ECONOMICAL DEVELOPMENT - ENTREPRISE - INDUSTRY"
147,,"CONGO 2","DECLARATION D'INTENTION  RELATIVE A L'ETABLISSEMENT ENTRE LA REG. DE BRUXELLES-CAPITALE ET LA REP. DEM. DU CONGO D'UNE COOPERATION DANS LE DOMAINE DE LA PROTECTION DE LA GESTION DE LA FORET EN RELATION AVEC LA LUTTE CONTRE LE RECHAUFFEMENT DU CLIMAT","DECLARATION D'INTENTION  RELATIVE A L'ETABLISSEMENT ENTRE LA REG. DE BRUXELLES-CAPITALE ET LA REP. DEM. DU CONGO D'UNE COOPERATION DANS LE DOMAINE DE LA PROTECTION DE LA GESTION DE LA FORET EN RELATION AVEC LA LUTTE CONTRE LE RECHAUFFEMENT DU CLIMAT","24","","LEEFMILIEU - FAUNA EN FLORA - LUCHT -  Deze verklaring wil de voorwaarden creëren voor bosontginning met oog voor sociale, ecologische en economische criteria en dit in overeenstemming met het CSF certificaat.   Tevens wordt de herwaardering nagestreeft van een Congolees bos dat beschadigd is, wat kan bijdragen tot het bereiken van de Kyoto-normen over de uitstoot van CO².","PGERARD",28/07/09,20/02/03,"","PGERARD","ENVIRONNEMENT - FAUNE ET FLORE -  AIR'  Créer un contexte d'exploitation forestière intégrant les critères sociaux, écologiques et économiques de sorte à tendre vers les principes de la certification FSC.Réhabilitation d' une forêt dégradée congolaise qui devrait répondre aux critères du protocole de Kyoto (séquestration du CO2)",14/05/04,19/02/05,"DECLARATION D'INTENTION  RELATIVE A L'ETABLISSEMENT ENTRE LA REG. DE BRUXELLES-CAPITALE ET LA REP. DEM. DU CONGO D'UNE COOPERATION DANS LE DOMAINE DE LA PROTECTION DE LA GESTION DE LA FORET EN RELATION AVEC LA LUTTE CONTRE LE RECHAUFFEMENT DU CLIMAT","N",18,17,"ENVIRONMENT - FAUNA AND FLAURA - AIR' : Create a forestry frameworkcontext that integrates integrates social, ecological and economic criteria, so as to meet the FSC certification principles. Rehabilitation of a damaged Congolese forest which should meet the Kyoto protocol criteria (CO2 sequestration)."
148,,"CONGO 3","ACCORD RELATIF A L'ETABLISSEMENT ENTRE LA REG. DE BRUXELLES-CAPITALE ET LA REP. DEM. DU CONGO D'UNE COOPERATION VISANT A L'ELABORATION D'UN PLAN DE GESTION DES DECHETS DE SOINS DE SANTE A KINSHASA","ACCORD RELATIF A L'ETABLISSEMENT ENTRE LA REG. DE BRUXELLES-CAPITALE ET LA REP. DEM. DU CONGO D'UNE COOPERATION VISANT A L'ELABORATION D'UN PLAN DE GESTION DES DECHETS DE SOINS DE SANTE A KINSHASA","24","","LEEFMILIEU - AFVAL: beheer en verwerking van afval uit hospitalen - ADMINISTRATIE - ADMINISTRATIEF BEHEER: : methodes en grondslagen van het administratief beheer - ADMINISTRATIE (ALLERLEI): opleiding van ambtenaren, milieuwetgeving en -reglementering, informeren en bewustmaken van de bevolking van het medisch personeel en van de beheerders van hospitalen - SOCIAAL BELEID - HOSPITALEN. De coördinatie van gemeenschappelijke acties ten aanzien van internationale instanties.","GDEROEP",21/02/06,20/02/03,"","PGERARD","ENVIRONNEMENT - Gestion et traitement des DECHETS hospitaliers -  ADMINISTRATION - Méthodes et principes de la GESTION ADMINISTRATIVE - ADMINISTRATION (DIVERS) Formation de fonctionnaires, législation et réglementation environnementales, information et sensibilisation de la population, du corps médical et des gestionnaires des institutions hospitalières POLITIQUE SOCIALE - HOPITAUX  - Coordination d'actions communes vis-à-vis des instances internationales.",14/05/04,19/02/05,"ACCORD RELATIF A L'ETABLISSEMENT ENTRE LA REG. DE BRUXELLES-CAPITALE ET LA REP. DEM. DU CONGO D'UNE COOPERATION VISANT A L'ELABORATION D'UN PLAN DE GESTION DES DECHETS DE SOINS DE SANTE A KINSHASA","N",18,17,"ENVIRONMENT - WASTE: Management and disposal of hospital waste - ADMINISTRATION - ADMINISTRATIVE MANAGEMENT: Methods and principles - ADMINISTRATION (MISC.): Training of civil servants, environmental legislation and regulations, information and public awareness, information of the medical branch and hospital administrators - SOCIAL POLICY - HOSPITALS: Coordination of common action towards international institutions."
150,,"LEGNICA","SAMENWERKINGSOVEREENKOMST TUSSEN DE VOIVODE VAN LEGNICA (POOLSE REPUBLIEK) EN HET BRUSSEL HOOFDSTEDELIJK GEWEST (KONINKRIJK BELGIE)","ACCORD DE COOPERATION ENTRE LA VOIVODIE DE LEGNICA (REPUBLIQUE POLONAISE) ET LA REGION DE BRUXELLES-CAPITALE (ROYAUME DE BELGIQUE)","24","","ECONOMIE & HANDEL - INDUSTRIE - ECONOMISCHE ONTWIKKELING - HANDEL' - TOERISME - TOERISME (ALLERLEI) - ONDERZOEK EN ONTWIKKELING - WETENSCAHPPELIJK ONDERZOEK","PGERARD",13/01/09,13/05/94,"Depuis la réforme des régions Polonaises en 1998, ce voivodie n'existe plus             -           Sedert de hervorming van de Poolse regio's in 1998 bestaat deze voivoidie niet meer.
Since the reform of Polish Regions in 1998, this voivodie has been suppressed.","PGERARD","ECONOMIE & COMMERCE- INDUSTRIE- DEVELOPPEMENT ECONOMIQUE - COMMERCE' - TOURISME-TOURISME (DIVERS) - R&D- RECHERCHES SCIENTIFIQUES",14/05/04,,"ACCORD DE COOPERATION ENTRE LA VOIVODIE DE LEGNICA (REPUBLIQUE POLONAISE) ET LA REGION DE BRUXELLES-CAPITALE (ROYAUME DE BELGIQUE)","N",18,17,"ECONOMY & TRADE - INDUSTRY - ECONOMICAL DEVELOPMENT - TRADE' - TOURISM - TOURISM (MISC.) - R&D - SCIENTIFIC RESAERCH"
151,,"LJUBLJANA","SAMENWERKINGSAKKOORD TUSSEN HET BRUSSELS HOOOFDSTEDELIJK GEWEST  EN LJUBLJANA, HOOFDSTAD VAN SLOVENIE","AGREEMENT ON CO-OPERATION BETWEEN BRUSSEL-CAPITAL REGION AND LJUBLJANA, CAPITAL OF SLOVENIE","24","","STEDENBOUW EN STADSVERNIEUWING - RUIMTELIJKE ORDENING - VERVOER - HUISVESTING - HUISVESTING (ALLERLEI) - ECONOMIE & HANDEL - ECONOMIE - LEEFMILIEU - FAUNA EN FLORA - WATER' - AFVAL - ENERGIE - ENERGIE (ALLERLEI): nieuwe energiebronnen - PATRIMONIUM - BESCHERMING VAN MONUMENTEN - EXTERNE BETREKKINGEN - EUROPESE ZAKEN","PGERARD",10/04/06,28/04/04,"","PGERARD","URBANISME ET RENOVATION URBAINE - AMENAGEMENT DU TERRITOIRE-TRANSPORTS - LOGEMENT - LOGEMENT (DIVERS) - ECONOMIE & COMMERCE - ECONOMIE- ENVIRONNEMENT- FAUNE ET FLORE- EAUX' - DECHETS- ENERGIE - ENERGIE (DIVERS) Nouvelles sources d'énergie - PATRIMOINE - PROTECTION DU PATRIMOINE - RELATIONS EXTERIEURES - AFFAIRES EUROPEENNES",14/05/04,28/04/08,"ACCORD DE COOPERATION ENTRE LA REGION DE BRUXELLES-CAPITALE, ROYAUME DE BELGIQUE ET LJUBLJANA, CAPITALE DE LA SLOVENIE","N",17,17,"TOWN PLANNING AND RENOVATION - SPATIAL PLANNING - TRANSPORT - HOUSING - HOUSING (MISC.) - ECONOMY & TRADE - ECONOMY - ENVIRONMENT - FAUNA AND FLORA - WATER' - WASTE - ENVERGY - ENERGY (MISC.): new energysources  - HERITAGE - PROTECTION OF MONUMENTS - EXTERNAL RELATIONS - EUROPEAN AFFAIRS"
237,236,"UE- EU: ASIA  REHAB - HANOI 2010","EUROPESE UNIE - ASIA REHAB - HANOI 2010","EUROPEAN UNION - ASIA REHAB - HANOI 2010","22","www.hanoi.irisnet.be/projet_en.htm","ONTWIKKELINGSSAMENWERKING - RUIMTELIJKE ORDENING - PLANNING - ONDERZOEK EN ONTWIKKELING - TECHNOLOGIEEN - DIVERSEN - CULTUUR - ECONOMIE & HANDEL - ECONOMISCHE ONTWIKKELING
Toulouse en het BHG geven steun aan Hanoi voor de herwaardering van het historisch stadscentrum. De bijstand van het BHG betreft de digitalisering van het kadaster, de economische ontwikkeling en het immaterieel patrimonium.","GDEROEP",25/07/06,01/01/02,"Voir aussi ASIA REHAB                   -                          Zie ook ASIA REHAB                       -                     Also see ASIA REHAB.","PGERARD","COOPERATION AU DEVELOPPEMENT - AMENAGEMENT DU TERRITOIRE - PLANIFICATION -  R&D - TECHNOLOGIES - AUTRES - CULTURE - ECONOMIE & COMMERCE - DEVELOPPEMENT ECONOMIQUE   
Toulouse et la RBC apportent un appui à Hanoi  pour la mise en valeur de son centre historique. L'apport spécifique de la RBC porte sur la numérisation du cadastre, le développement économique et le patrimoine immmatériel",06/07/04,01/01/06,"UNION EUROPEENNE - ASIA REHAB - HANOI 2010","N",17,18,"DEVELOPMENT AID - SPATIAL PLANNING - PLANNING' - R&D - TECHNOLOGIES - MISCELLANEOUS - CULTURE - ECONOMY & TRADE & ECONOMICAL DEVELOPMENT
Toulouse and the Brussels Capital Region support Hanoi for the valuing of its historical centre. The specific input of the Brussels Capital Region concerns the automation of the land register, economic development and non-physical heritage."
113,,"BERLIN - BERLIJN","VRIENDSCHAPS-EN SAMENWERKINGSAKKOORD TUSSEN BRUSSEL EN BERLIJN","ACCORD D'AMITIE ET DE COOPERATION ENTRE BRUXELLES ET BERLIN","24","www.berlin.de","VEILIGHEID - MISDAAD: de strijd tegen georganiseerde misdaad - FINANCIEN EN BEGROTING - FINANCIERING VAN HOOFDSTEDELIJKE GEWESTEN - ADMINISTRATIE - ORGANISATIE - ECONOMIE & HANDEL - ECONOMISCHE ONTWIKKELING - ECONOMIE (ALLERLEI) - KMO - ONDERZOEK EN ONTWIKKELING -  TECHNOLOGIE - WETENSCHAPPELIJK ONDERZOEK - LEEFMILIEU - LUCHT - WATER' - AFVAL - SOCIAAL BELEID - SOCIAAL BELEID (ALLERLEI) - DIVERSEN - JONGEREN - MIGRATIE - DRUGS - HUISVESTING - SOCIALE HUISVESTING - EXTERNE BETREKKINGEN -  INTERREGIONALE SAMENWERKING.","RELEX",15/06/06,01/06/92,"La mise en oeuvre de cet accord est réglé par ""la  convention cadre relative à l'accord d'amitié et de coopération entre Bruxelles et Berlin"" qui a également été signé le 1er juin 1992.
De uitvoering van dit akkoord wordt geregeld door de ""kaderovereenkomst betreffende het vriendschaps- en samenwerkingsakkoord tussen Brussel en Berlijn"" dat eveneens op 1 juni 1992 werd ondertekend.
The execution of this agreement is regulated by the framework agreement relating to the friendship and cooperation agreement between Brussels and Berlin, which was also signed on 1 June 1992.","GDEROEP","SECURITE - CRIMINALITE: lutte contre la criminalité organisée - FINANCES ET BUDGET - FINANCEMENT DES REGIONS CAPITALES - ADMINISTRATION - ORGANISATION - ECONOMIE & COMMERCE - DEVELOPPEMENT ECONOMIQUE - ECONOMIE (DIVERS) - PME - R&D - TECHNOLOGIE - RECHERCHE SCIENTIFIQUE - ENVIRONNEMENT - AIR' -  EAUX' - DECHETS - POLITIQUE SOCIALE - POLITIQUE SOCIALE (DIVERS) - AUTRES - JEUNES - MIGRATION - DROGUE - LOGEMENT - LOGEMENT SOCIAL - RELATIONS EXTERIEURES - COOPERATION INTERREGIONALE",06/05/04,,"ACCORD D'AMITIE ET DE COOPERATION ENTRE BRUXELLES ET BERLIN","N",17,17,"SECURITY - CRIME: the fight against organised crime - FINANCE AND BUDGET - FINANCING OF CAPITAL REGIONS - ADMINISTRATION - ORGANISATION - ECONOMY & TRADE - ECONOMICAL DEVELOPMENT - ECONOMY (MISC.) - SME - R&D - TECHNOLOGY - SCIENTIFIC RESEARCH - ENVIRONMENT -  AIR' - WATER' - WASTE - SOCIAL POLICY - SOCIAL POLICY (MISC.) -  MISCELLANEOUS - YOUTH - MIGRATION - DRUGS - HOUSING - SOCIAL HOUSING - EXTERNAL RELATIONS - INTERREGIONAL COOPERATION"
153,,"MAZOVIE","INTERREGIONAAL SAMENWERKINGSAKKOORD TUSSEN DE VOIVODIE VAN MAZOVIE EN HET BRUSSELS HOOFDSTEDELIJK GEWEST","ACCORD DE COOPERATION INTERREGIONAL ENTRE LA VOIVODIE DE MAZOVIE ET LA REGION DE BRUXELLES-CAPITALE","24","","STEDENBOUW EN STADSVERNIEUWING - RUIMTELIJKE ORDENING -  VERVOER - HUISVESTING - HUISVESTING (ALLERLEI) - ECONOMIE & HANDEL - ECONOMIE - ECONOMISCHE ONTWIKKELING - ECONOMIE (ALLERLEI) economische samenwerking en promotie - EXTERNE BETREKKINGEN - INTERREGIONALE SAMENWERKING (samenwerking tussen instellingen) - EUROPESE ZAKEN - LEEFMILIEU - MILIEUBESCHERMING.","PGERARD",18/11/11,24/10/01,"","PGERARD","URBANISME ET RENOVATION URBAINE - AMENAGEMENT DU TERRITOIRE-TRANSPORTS - LOGEMENT - LOGEMENT (DIVERS) - ECONOMIE & COMMERCE - ECONOMIE- DEVELOPPEMENT ECONOMIQUE- ECONOMIE (DIVERS) Coopération et promotions économiques - RELATIONS EXTERIEURES - COOPERATION INTERREGIONALE  (Coopération entre les Institutions) - AFFAIRES EUROPEENNES - ENVIRONNEMENT- PROTECTION DE L'ENVIRONNEMENT",14/05/04,,"ACCORD DE COOPERATION INTERREGIONAL ENTRE LA VOIVODIE DE MAZOVIE ET LA REGION DE BRUXELLES-CAPITALE","N",17,17,"TOWN PLANNING AND RENOVATION - SPATIAL PLANNING - TRANSPORT - HOUSING - HOUSING (MISC.) - ECONOMY & TRADE - ECONOMY - ECONOMICAL DEVELOPMENT - ECONOMY (MISC.) economical cooperation and promotion. - EXTERNAL RELATIONS - INTERREGIONAL COOPERATION: cooperation between the institutions - EUROPEAN AFFAIRS - ENVRIRONMENT - ENVIRONMENTAL PROTECTION."
133,,"ARUSHA","KADEROVEREENKOMST TUSSEN HET BRUSSELS HOOFDSTEDELIJK GEWEST EN DE ARUSHAREGIO","ACCORD-CADRE ENTRE LA REGION D'ARUSHA ET LA REGION DE BRUXELLES-CAPITALE","24","","HUISVESTING - WOONKWALITEIT - LEEFMILIEU - MILIEUBESCHERMING - ECONOMIE & HANDEL - ECONOMISCHE ONTWIKKELING - TOERISME - SOCIAAL BELEID - algemeen WELZIJN - VERVOER - OPENBARE WERKEN - STEDENBOUW EN STADSVERNIEUWING - REGIONALE ONTWIKKELING - STEDELIJKE ONTWIKKELING","GDEROEP",06/04/06,16/02/96,"","PGERARD","LOGEMENT - QUALITE DE L'HABITAT - ENVIRONNEMENT - PROTECTION DE L'ENVIRONNEMENT - ECONOMIE & COMMERCE - DEVELOPPEMENT ECONOMIQUE - TOURISME - POLITIQUE SOCIALE - BIEN-ETRE- TRANSPORTS - TRAVAUX PUBLICS - URBANISME ET RENOVATION URBAINE - DEVELOPPEMENT REGIONAL - DEVELOPPEMENT URBAIN",13/05/04,16/02/98,"ACCORD-CADRE ENTRE LA REGION D'ARUSHA ET LA REGION DE BRUXELLES-CAPITALE","N",18,17,"HOUSING - HOUSING QUALITY - ENVIRONMENT - ENVIRIONMENTAL PROTECTION - ECONOMY & TRADE- ECONOMICAL DEVELOPMENT- TOURISM - SOCIAL POLICY - general WELFARE - TRANSPORT - PUBLIC WORKS - TOWN PLANNING AND RENOVATION - REGIONAL DEVELOPMENT - URBAN DEVELOPMENT"
171,135,"PEKIN","MEMORANDUM OVER VRIENDELIJKE UITWISSELING TUSSEN BEIJING EN HET BRUSSELS HOOFDSTEDELIJK GEWEST","MEMORANDUM ON FRIENDLY EXCHANGES BETWEEN BEIJING AND THE REGION OF BRUSSELS-CAPITAL","","","ONDERZOEK EN ONTWIKKELING - TECHNOLOGIE - WETENSCHAPPELIJK ONDERZOEK - EXTERNE BETREKKINGEN - INTERREGIONALE SAMENWERKING","PGERARD",11/01/12,14/03/97,"","GDEROEP","R&D - TECHNOLOGIE - RECHERCHE SCIENTIFIQUE - RELATIONS EXTERIEURES - COOPERATION INTERREGIONALE",27/05/04,31/12/98,"MEMORANDUM SUR LES ECHANGES AMICAUX ENTRE BEIJING ET LA REGION DE BRUXELLES-CAPITALE","N",18,17,"R&D - TECHNOLOGY - SCIENTIFIC RESEARCH - EXTERNAL RELATIONS - INTERREGIONAL COOPERATION"
