"PRJ_ID","PRJ_CTY_USERCREATION","PRJ_CTY_USERUPDATE","PRJ_CTY_DATECREATION","PRJ_CTY_DATEUPDATE","CTY_ID"
265,"PGERARD","",30/08/04,,134
265,"PGERARD","",30/08/04,,100
230,"PGERARD","",13/07/04,,773
230,"PGERARD","",13/07/04,,681
230,"PGERARD","",13/07/04,,804
230,"PGERARD","",13/07/04,,747
230,"PGERARD","",13/07/04,,720
230,"PGERARD","",13/07/04,,388
230,"PGERARD","",13/07/04,,688
230,"PGERARD","",13/07/04,,588
230,"PGERARD","",13/07/04,,393
230,"PGERARD","",13/07/04,,781
230,"PGERARD","",13/07/04,,744
230,"PGERARD","",13/07/04,,691
230,"PGERARD","",13/07/04,,635
230,"PGERARD","",13/07/04,,813
230,"PGERARD","",13/07/04,,797
230,"PGERARD","",13/07/04,,653
230,"PGERARD","",13/07/04,,557
230,"PGERARD","",13/07/04,,704
230,"PGERARD","",13/07/04,,655
230,"PGERARD","",13/07/04,,732
230,"PGERARD","",13/07/04,,731
230,"PGERARD","",13/07/04,,768
230,"PGERARD","",13/07/04,,558
230,"PGERARD","",13/07/04,,724
230,"PGERARD","",13/07/04,,795
230,"PGERARD","",13/07/04,,674
230,"PGERARD","",13/07/04,,559
230,"PGERARD","",13/07/04,,783
230,"PGERARD","",13/07/04,,759
230,"PGERARD","",13/07/04,,656
230,"PGERARD","",13/07/04,,640
230,"PGERARD","",13/07/04,,772
230,"PGERARD","",13/07/04,,714
230,"PGERARD","",13/07/04,,771
230,"PGERARD","",13/07/04,,736
230,"PGERARD","",13/07/04,,801
230,"PGERARD","",13/07/04,,726
230,"PGERARD","",13/07/04,,749
230,"PGERARD","",13/07/04,,597
230,"PGERARD","",13/07/04,,798
230,"PGERARD","",13/07/04,,750
230,"PGERARD","",13/07/04,,792
230,"PGERARD","",13/07/04,,624
230,"PGERARD","",13/07/04,,761
230,"PGERARD","",13/07/04,,769
230,"PGERARD","",13/07/04,,727
230,"PGERARD","",13/07/04,,811
230,"PGERARD","",13/07/04,,729
230,"PGERARD","",13/07/04,,652
230,"PGERARD","",13/07/04,,734
230,"PGERARD","",13/07/04,,223
230,"PGERARD","",13/07/04,,748
230,"PGERARD","",13/07/04,,786
230,"PGERARD","",13/07/04,,774
230,"PGERARD","",13/07/04,,130
230,"PGERARD","",13/07/04,,719
230,"PGERARD","",13/07/04,,740
230,"PGERARD","",13/07/04,,657
230,"PGERARD","",13/07/04,,755
233,"PGERARD","",05/07/04,,894
233,"PGERARD","",05/07/04,,895
233,"PGERARD","",05/07/04,,704
233,"PGERARD","",05/07/04,,798
233,"PGERARD","",05/07/04,,832
233,"PGERARD","",05/07/04,,223
233,"PGERARD","",05/07/04,,898
233,"PGERARD","",05/07/04,,899
233,"PGERARD","",05/07/04,,897
233,"PGERARD","",05/07/04,,534
233,"PGERARD","",05/07/04,,896
233,"PGERARD","",05/07/04,,682
229,"PGERARD","",09/07/04,,684
229,"PGERARD","",09/07/04,,131
229,"PGERARD","",09/07/04,,688
229,"PGERARD","",09/07/04,,588
229,"PGERARD","",09/07/04,,687
229,"PGERARD","",09/07/04,,630
229,"PGERARD","",09/07/04,,691
229,"PGERARD","",09/07/04,,635
229,"PGERARD","",09/07/04,,653
229,"PGERARD","",09/07/04,,696
229,"PGERARD","",09/07/04,,680
229,"PGERARD","",09/07/04,,565
229,"PGERARD","",09/07/04,,704
229,"PGERARD","",09/07/04,,583
229,"PGERARD","",09/07/04,,655
229,"PGERARD","",09/07/04,,679
229,"PGERARD","",09/07/04,,592
229,"PGERARD","",09/07/04,,558
229,"PGERARD","",09/07/04,,575
229,"PGERARD","",09/07/04,,698
229,"PGERARD","",09/07/04,,569
229,"PGERARD","",09/07/04,,594
229,"PGERARD","",09/07/04,,595
229,"PGERARD","",09/07/04,,674
229,"PGERARD","",09/07/04,,631
229,"PGERARD","",09/07/04,,591
229,"PGERARD","",09/07/04,,656
229,"PGERARD","",09/07/04,,640
229,"PGERARD","",09/07/04,,573
229,"PGERARD","",09/07/04,,693
229,"PGERARD","",09/07/04,,597
229,"PGERARD","",09/07/04,,624
229,"PGERARD","",09/07/04,,587
229,"PGERARD","",09/07/04,,652
229,"PGERARD","",09/07/04,,576
229,"PGERARD","",09/07/04,,584
229,"PGERARD","",09/07/04,,599
229,"PGERARD","",09/07/04,,223
229,"PGERARD","",09/07/04,,657
229,"PGERARD","",09/07/04,,681
229,"PGERARD","",09/07/04,,605
229,"PGERARD","",09/07/04,,580
229,"PGERARD","",09/07/04,,582
229,"PGERARD","",09/07/04,,670
229,"PGERARD","",09/07/04,,658
229,"PGERARD","",09/07/04,,647
229,"PGERARD","",09/07/04,,685
229,"PGERARD","",09/07/04,,671
229,"PGERARD","",09/07/04,,606
229,"PGERARD","",09/07/04,,683
229,"PGERARD","",09/07/04,,641
229,"PGERARD","",09/07/04,,705
229,"PGERARD","",09/07/04,,660
229,"PGERARD","",09/07/04,,675
229,"PGERARD","",09/07/04,,603
229,"PGERARD","",09/07/04,,648
229,"PGERARD","",09/07/04,,604
229,"PGERARD","",09/07/04,,695
229,"PGERARD","",09/07/04,,661
229,"PGERARD","",09/07/04,,578
229,"PGERARD","",09/07/04,,534
229,"PGERARD","",09/07/04,,577
229,"PGERARD","",09/07/04,,676
229,"PGERARD","",09/07/04,,665
229,"PGERARD","",09/07/04,,567
229,"PGERARD","",09/07/04,,568
229,"PGERARD","",09/07/04,,607
229,"PGERARD","",09/07/04,,692
229,"PGERARD","",09/07/04,,672
229,"PGERARD","",09/07/04,,673
229,"PGERARD","",09/07/04,,627
229,"PGERARD","",09/07/04,,628
229,"PGERARD","",09/07/04,,642
229,"PGERARD","",09/07/04,,611
229,"PGERARD","",09/07/04,,666
229,"PGERARD","",09/07/04,,612
229,"PGERARD","",09/07/04,,613
229,"PGERARD","",09/07/04,,668
229,"PGERARD","",09/07/04,,667
229,"PGERARD","",09/07/04,,686
229,"PGERARD","",09/07/04,,706
229,"PGERARD","",09/07/04,,702
229,"PGERARD","",09/07/04,,677
229,"PGERARD","",09/07/04,,622
229,"PGERARD","",09/07/04,,572
229,"PGERARD","",09/07/04,,623
229,"PGERARD","",09/07/04,,664
229,"PGERARD","",09/07/04,,663
229,"PGERARD","",09/07/04,,662
229,"PGERARD","",09/07/04,,571
229,"PGERARD","",09/07/04,,585
229,"PGERARD","",09/07/04,,615
229,"PGERARD","",09/07/04,,618
229,"PGERARD","",09/07/04,,586
229,"PGERARD","",09/07/04,,694
229,"PGERARD","",09/07/04,,574
229,"PGERARD","",09/07/04,,639
229,"PGERARD","",09/07/04,,690
229,"PGERARD","",09/07/04,,621
229,"PGERARD","",09/07/04,,634
229,"PGERARD","",09/07/04,,701
229,"PGERARD","",09/07/04,,699
229,"PGERARD","",09/07/04,,700
229,"PGERARD","",09/07/04,,682
229,"PGERARD","",09/07/04,,620
229,"PGERARD","",09/07/04,,638
230,"PGERARD","",13/07/04,,709
230,"PGERARD","",13/07/04,,791
230,"PGERARD","",13/07/04,,775
230,"PGERARD","",13/07/04,,527
230,"PGERARD","",13/07/04,,658
230,"PGERARD","",13/07/04,,767
230,"PGERARD","",13/07/04,,799
230,"PGERARD","",13/07/04,,683
230,"PGERARD","",13/07/04,,782
230,"PGERARD","",13/07/04,,660
230,"PGERARD","",13/07/04,,741
230,"PGERARD","",13/07/04,,816
230,"PGERARD","",13/07/04,,796
230,"PGERARD","",13/07/04,,735
230,"PGERARD","",13/07/04,,661
230,"PGERARD","",13/07/04,,793
230,"PGERARD","",13/07/04,,733
230,"PGERARD","",13/07/04,,802
230,"PGERARD","",13/07/04,,716
230,"PGERARD","",13/07/04,,742
230,"PGERARD","",13/07/04,,665
230,"PGERARD","",13/07/04,,718
230,"PGERARD","",13/07/04,,746
230,"PGERARD","",13/07/04,,607
230,"PGERARD","",13/07/04,,814
230,"PGERARD","",13/07/04,,692
230,"PGERARD","",13/07/04,,777
230,"PGERARD","",13/07/04,,673
230,"PGERARD","",13/07/04,,737
230,"PGERARD","",13/07/04,,785
230,"PGERARD","",13/07/04,,712
230,"PGERARD","",13/07/04,,642
230,"PGERARD","",13/07/04,,611
230,"PGERARD","",13/07/04,,666
230,"PGERARD","",13/07/04,,613
230,"PGERARD","",13/07/04,,668
230,"PGERARD","",13/07/04,,667
230,"PGERARD","",13/07/04,,686
230,"PGERARD","",13/07/04,,794
230,"PGERARD","",13/07/04,,787
230,"PGERARD","",13/07/04,,723
230,"PGERARD","",13/07/04,,706
230,"PGERARD","",13/07/04,,708
230,"PGERARD","",13/07/04,,800
230,"PGERARD","",13/07/04,,728
230,"PGERARD","",13/07/04,,756
230,"PGERARD","",13/07/04,,751
230,"PGERARD","",13/07/04,,789
230,"PGERARD","",13/07/04,,810
230,"PGERARD","",13/07/04,,715
230,"PGERARD","",13/07/04,,788
230,"PGERARD","",13/07/04,,623
230,"PGERARD","",13/07/04,,757
230,"PGERARD","",13/07/04,,664
230,"PGERARD","",13/07/04,,752
230,"PGERARD","",13/07/04,,745
230,"PGERARD","",13/07/04,,707
230,"PGERARD","",13/07/04,,585
230,"PGERARD","",13/07/04,,754
230,"PGERARD","",13/07/04,,779
230,"PGERARD","",13/07/04,,615
230,"PGERARD","",13/07/04,,760
230,"PGERARD","",13/07/04,,738
230,"PGERARD","",13/07/04,,669
230,"PGERARD","",13/07/04,,815
230,"PGERARD","",13/07/04,,721
230,"PGERARD","",13/07/04,,563
230,"PGERARD","",13/07/04,,713
230,"PGERARD","",13/07/04,,586
230,"PGERARD","",13/07/04,,817
230,"PGERARD","",13/07/04,,743
230,"PGERARD","",13/07/04,,763
230,"PGERARD","",13/07/04,,808
230,"PGERARD","",13/07/04,,765
230,"PGERARD","",13/07/04,,807
230,"PGERARD","",13/07/04,,710
230,"PGERARD","",13/07/04,,818
230,"PGERARD","",13/07/04,,574
230,"PGERARD","",13/07/04,,812
230,"PGERARD","",13/07/04,,629
230,"PGERARD","",13/07/04,,730
230,"PGERARD","",13/07/04,,118
230,"PGERARD","",13/07/04,,682
230,"PGERARD","",13/07/04,,711
230,"PGERARD","",13/07/04,,764
230,"PGERARD","",13/07/04,,717
230,"PGERARD","",13/07/04,,758
