"PRJ_ID","PRJ_CTR_USERCREATION","PRJ_CTR_USERUPDATE","PRJ_CTR_DATECREATION","PRJ_CTR_DATEUPDATE","CTR_ID"
436,"PGERARD","",21/01/09,,44
235,"PGERARD","",21/01/09,,54
405,"PGERARD","",27/07/09,,81
405,"PGERARD","",27/07/09,,14
405,"PGERARD","",27/07/09,,21
405,"PGERARD","",27/07/09,,84
405,"PGERARD","",27/07/09,,105
405,"PGERARD","",27/07/09,,160
405,"PGERARD","",27/07/09,,150
405,"PGERARD","",27/07/09,,222
405,"PGERARD","",27/07/09,,203
431,"PGERARD","",27/07/09,,21
431,"PGERARD","",27/07/09,,195
431,"PGERARD","",27/07/09,,105
431,"PGERARD","",27/07/09,,171
449,"PGERARD","",28/07/09,,14
449,"PGERARD","",28/07/09,,21
449,"PGERARD","",28/07/09,,33
449,"PGERARD","",28/07/09,,57
449,"PGERARD","",28/07/09,,195
412,"PGERARD","",27/07/09,,81
412,"PGERARD","",27/07/09,,14
412,"PGERARD","",27/07/09,,21
412,"PGERARD","",27/07/09,,33
412,"PGERARD","",27/07/09,,55
412,"PGERARD","",27/07/09,,57
412,"PGERARD","",27/07/09,,195
412,"PGERARD","",27/07/09,,67
412,"PGERARD","",27/07/09,,72
412,"PGERARD","",27/07/09,,73
412,"PGERARD","",27/07/09,,84
412,"PGERARD","",27/07/09,,97
412,"PGERARD","",27/07/09,,103
412,"PGERARD","",27/07/09,,98
412,"PGERARD","",27/07/09,,104
412,"PGERARD","",27/07/09,,105
412,"PGERARD","",27/07/09,,117
412,"PGERARD","",27/07/09,,123
412,"PGERARD","",27/07/09,,132
412,"PGERARD","",27/07/09,,160
412,"PGERARD","",27/07/09,,150
412,"PGERARD","",27/07/09,,170
412,"PGERARD","",27/07/09,,171
412,"PGERARD","",27/07/09,,56
412,"PGERARD","",27/07/09,,175
412,"PGERARD","",27/07/09,,222
412,"PGERARD","",27/07/09,,189
412,"PGERARD","",27/07/09,,190
412,"PGERARD","",27/07/09,,203
412,"PGERARD","",27/07/09,,204
412,"PGERARD","",27/07/09,,215
449,"PGERARD","",28/07/09,,67
449,"PGERARD","",28/07/09,,72
449,"PGERARD","",28/07/09,,73
170,"PGERARD","",29/07/09,,220
173,"PGERARD","",29/07/09,,176
168,"PGERARD","",29/07/09,,220
166,"PGERARD","",11/01/12,,170
178,"PGERARD","",11/01/12,,3
437,"PGERARD","",11/01/12,,170
169,"PGERARD","",11/01/12,,220
171,"PGERARD","",11/01/12,,44
449,"PGERARD","",28/07/09,,81
449,"PGERARD","",28/07/09,,84
449,"PGERARD","",28/07/09,,97
449,"PGERARD","",28/07/09,,103
449,"PGERARD","",28/07/09,,105
449,"PGERARD","",28/07/09,,117
449,"PGERARD","",28/07/09,,123
449,"PGERARD","",28/07/09,,124
449,"PGERARD","",28/07/09,,132
449,"PGERARD","",28/07/09,,150
449,"PGERARD","",28/07/09,,170
449,"PGERARD","",28/07/09,,171
449,"PGERARD","",28/07/09,,56
449,"PGERARD","",28/07/09,,175
449,"PGERARD","",28/07/09,,222
449,"PGERARD","",28/07/09,,189
449,"PGERARD","",28/07/09,,190
449,"PGERARD","",28/07/09,,203
167,"PGERARD","",29/07/09,,220
162,"PGERARD","",12/01/12,,223
470,"PGERARD","",12/01/12,,223
230,"PGERARD","",13/07/04,,64
230,"PGERARD","",13/07/04,,138
230,"PGERARD","",13/07/04,,154
230,"PGERARD","",13/07/04,,164
230,"PGERARD","",13/07/04,,166
230,"PGERARD","",13/07/04,,150
230,"PGERARD","",13/07/04,,167
230,"PGERARD","",13/07/04,,171
230,"PGERARD","",13/07/04,,222
230,"PGERARD","",13/07/04,,203
230,"PGERARD","",13/07/04,,225
230,"PGERARD","",13/07/04,,229
465,"PGERARD","",11/01/12,,170
165,"PGERARD","",11/01/12,,170
163,"PGERARD","",11/01/12,,170
468,"PGERARD","",11/01/12,,38
229,"PGERARD","",09/07/04,,43
469,"PGERARD","",11/01/12,,38
229,"PGERARD","",09/07/04,,47
229,"PGERARD","",09/07/04,,51
464,"PGERARD","",12/01/12,,44
473,"PGERARD","",13/02/12,,73
229,"PGERARD","",09/07/04,,54
229,"PGERARD","",09/07/04,,62
229,"PGERARD","",09/07/04,,195
229,"PGERARD","",09/07/04,,72
229,"PGERARD","",09/07/04,,73
229,"PGERARD","",09/07/04,,84
229,"PGERARD","",09/07/04,,89
